WAS,WASs,TDS,TDSs,BUS,BUSs,SS,SSs,RNASize,RNAfold,WAS300,TDS300
0.83045,242,0.83045,242,0.513026,26,0.747331,488,968,0.707407,,
0.683849,185,0.673874,321,0.507246,171,0.66065,248,968,0.652174,,
0.39726,117,0.359511,322,0.237986,96,0.379928,107,1174,0.24911,,
0.562712,475,0.58458,453,0.313117,99,0.572398,484,1466,0.491228,,
0.605005,425,0.608791,471,0.316779,99,0.586169,419,1505,0.593819,,
0.561565,425,0.563743,471,0.306122,92,0.541618,450,1511,0.507638,,
0.600868,425,0.587196,390,0.342105,99,0.579235,436,1513,0.512878,,
0.601117,413,0.583808,471,0.303797,99,0.562286,412,1514,0.564278,,
0.58,408,0.578888,475,0.357955,483,0.532721,425,1521,0.506881,,
0.582781,425,0.563474,360,0.343023,487,0.528814,461,1522,0.513053,,
0.59292,425,0.595556,498,0.311429,195,0.595556,498,1522,0.515393,,
0.59081,408,0.582307,475,0.342697,483,0.534699,388,1522,0.515254,,
0.565728,423,0.539952,494,0.273171,484,0.539952,494,1526,0.468401,,
0.610932,425,0.60455,469,0.325452,428,0.568627,425,1527,0.518847,,
0.619149,413,0.599784,468,0.330097,491,0.573593,413,1528,0.586319,,
0.601293,425,0.598253,471,0.31565,99,0.571111,172,1529,0.519509,,
0.500544,365,0.502242,284,0.231966,178,0.461364,482,1530,0.441731,,
0.593849,423,0.566486,424,0.300562,487,0.553238,432,1533,0.493827,,
0.588355,459,0.610656,352,0.346806,372,0.601427,477,1660,0.59815,,
0.623218,429,0.622177,360,0.371319,187,0.601861,335,1667,0.602083,,
0.57438,429,0.580042,467,0.339028,100,0.569633,376,1673,0.567876,,
0.561587,425,0.561587,467,0.339973,92,0.575286,350,1673,0.548488,,
0.630738,413,0.615854,468,0.343789,99,0.573196,410,1685,0.459601,,
0.565262,425,0.567595,468,0.268695,99,0.549223,382,1687,0.547917,,
0.511488,436,0.532663,424,0.329049,487,0.502503,304,1688,0.544554,,
0.607214,425,0.602823,472,0.357947,92,0.57554,292,1694,0.589928,,
0.412698,64,0.418557,405,0.275253,74,0.418989,406,1716,0.34375,,
0.616152,425,0.615848,468,0.361416,91,0.604374,429,1793,0.599803,,
0.457143,379,0.446209,312,0.313943,394,0.474359,381,2738,0.392241,,
0.512431,162,0.483642,384,0.328792,368,0.506742,354,2765,0.353868,,
0.516915,162,0.504144,379,0.315236,416,0.497547,354,2765,0.351351,,
0.504467,162,0.497902,379,0.3213,416,0.49185,354,2766,0.351254,,
0.500686,162,0.490934,381,0.315982,404,0.484006,384,2770,0.347639,,
0.482951,162,0.457711,312,0.271881,406,0.458037,354,2774,0.418015,,
0.593341,474,0.541409,496,0.313605,420,0.565693,484,2828,0.547863,,
0.585052,467,0.546649,440,0.340206,423,0.566038,369,2848,0.466931,,
0.585655,246,0.566061,498,0.318423,396,0.560048,365,2875,0.572941,,
